state,cases,deaths,date
Alabama,6,0,3/13/2020
Alabama,12,0,3/14/2020
Alabama,23,0,3/15/2020
Alabama,29,0,3/16/2020
Alabama,39,0,3/17/2020
Alabama,51,0,3/18/2020
Alabama,78,0,3/19/2020
Alabama,106,0,3/20/2020
Alabama,131,0,3/21/2020
Alabama,157,0,3/22/2020
Alabama,196,0,3/23/2020
Alabama,242,0,3/24/2020
Alabama,386,1,3/25/2020
Alabama,538,3,3/26/2020
Alabama,639,4,3/27/2020
Alabama,720,4,3/28/2020
Alabama,830,5,3/29/2020
Alabama,947,11,3/30/2020
Alabama,999,14,3/31/2020
Alabama,1108,28,4/1/2020
Alabama,1270,32,4/2/2020
Alabama,1535,38,4/3/2020
Alabama,1632,44,4/4/2020
Alabama,1840,45,4/5/2020
Alabama,2005,53,4/6/2020
Alabama,2197,64,4/7/2020
Alabama,2498,67,4/8/2020
Alabama,2838,78,4/9/2020
Alabama,3008,80,4/10/2020
Alabama,3262,93,4/11/2020
Alabama,3583,93,4/12/2020
Alabama,3805,104,4/13/2020
Alabama,3953,114,4/14/2020
Alabama,4241,123,4/15/2020
Alabama,4404,137,4/16/2020
Alabama,4572,151,4/17/2020
Alabama,4723,147,4/18/2020
Alabama,4903,160,4/19/2020
Alabama,5078,164,4/20/2020
Alabama,5327,186,4/21/2020
Alabama,5610,201,4/22/2020
Alabama,5832,197,4/23/2020
Alabama,6026,209,4/24/2020
Alabama,6213,213,4/25/2020
Alabama,6421,219,4/26/2020
Alabama,6539,228,4/27/2020
Alabama,6750,242,4/28/2020
Alabama,6925,262,4/29/2020
Alabama,7068,272,4/30/2020
Alabama,7294,289,5/1/2020
Alabama,7611,288,5/2/2020
Alabama,7888,290,5/3/2020
Alabama,8112,298,5/4/2020
Alabama,8437,315,5/5/2020
Alabama,8691,343,5/6/2020
Alabama,9046,369,5/7/2020
Alabama,9385,383,5/8/2020
Alabama,9668,390,5/9/2020
Alabama,9889,393,5/10/2020
Alabama,10164,403,5/11/2020
Alabama,10464,435,5/12/2020
Alabama,10700,450,5/13/2020
Alabama,11101,473,5/14/2020
Alabama,11373,483,5/15/2020
Alabama,11674,485,5/16/2020
